Team,URL
Arizona Diamondbacks,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/Arizona_Diamondbacks_logo.svg/1024px-Arizona_Diamondbacks_logo.svg.png
Atlanta Braves,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Atlanta_Braves.svg/1920px-Atlanta_Braves.svg.png
Baltimore Orioles,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Baltimore_Orioles_cap.svg/1024px-Baltimore_Orioles_cap.svg.png
Boston Red Sox,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/RedSoxPrimary_HangingSocks.svg/1024px-RedSoxPrimary_HangingSocks.svg.png
Chicago Cubs,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Chicago_Cubs_logo.svg/1024px-Chicago_Cubs_logo.svg.png
Chicago White Sox,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Chicago_White_Sox.svg/800px-Chicago_White_Sox.svg.png
Cincinnati Reds,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Cincinnati_Reds_Logo.svg/1280px-Cincinnati_Reds_Logo.svg.png
Cleveland Indians,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Cleveland_Indians_primary_logo.svg/800px-Cleveland_Indians_primary_logo.svg.png
Colorado Rockies,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Colorado_Rockies_logo.svg/800px-Colorado_Rockies_logo.svg.png
Detroit Tigers,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Detroit_Tigers_logo.svg/800px-Detroit_Tigers_logo.svg.png
Houston Astros,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Houston-Astros-Logo.svg/1024px-Houston-Astros-Logo.svg.png
Kansas City Royals,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Kansas_City_Royals.svg/800px-Kansas_City_Royals.svg.png
Los Angeles Angels,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Los_Angeles_Angels_of_Anaheim.svg/800px-Los_Angeles_Angels_of_Anaheim.svg.png
Los Angeles Dodgers,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/Los_Angeles_Dodgers_logo.svg/1024px-Los_Angeles_Dodgers_logo.svg.png
Miami Marlins,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Marlins_team_logo.svg/1024px-Marlins_team_logo.svg.png
Milwaukee Brewers,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Milwaukee_Brewers_Logo.svg/800px-Milwaukee_Brewers_Logo.svg.png
Minnesota Twins,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Minnesota_Twins_logo.svg/1024px-Minnesota_Twins_logo.svg.png
New York Mets,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/New_York_Mets.svg/1024px-New_York_Mets.svg.png
New York Yankees,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/NewYorkYankees_PrimaryLogo.svg/926px-NewYorkYankees_PrimaryLogo.svg.png
Oakland Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Oakland_A%27s_logo.svg/1024px-Oakland_A%27s_logo.svg.png
Philadelphia Phillies,https://upload.wikimedia.org/wikipedia/en/4/47/New_Phillies_logo.png
Pittsburgh Pirates,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Pittsburgh_Pirates_logo_2014.svg/800px-Pittsburgh_Pirates_logo_2014.svg.png
San Diego Padres,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/SDPadres_logo.svg/800px-SDPadres_logo.svg.png
San Francisco Giants,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/San_Francisco_Giants_Logo.svg/1920px-San_Francisco_Giants_Logo.svg.png
Seattle Mariners,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Seattle_Mariners_logo.svg/1024px-Seattle_Mariners_logo.svg.png
St. Louis Cardinals,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/St._Louis_Cardinals_logo.svg/1024px-St._Louis_Cardinals_logo.svg.png
Tampa Bay Rays,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Tampa_Bay_Rays.svg/1920px-Tampa_Bay_Rays.svg.png
Texas Rangers,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Texas_Rangers.svg/1024px-Texas_Rangers.svg.png
Toronto Blue Jays,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Toronto_Blue_Jays_logo.svg/1024px-Toronto_Blue_Jays_logo.svg.png
Washington Nationals,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Washington_Nationals_logo.svg/1024px-Washington_Nationals_logo.svg.png
